order_id,order_date,customer_id,product_id,category,price,quantity,discount_pct,revenue,sales_channel,country,returned,customer_age,customer_gender
ORD100001,02-08-2023,CUST1456,PROD1409,Activewear,77.24,1,25,57.93,Marketplace,India,0,19,F
ORD100002,21-04-2021,CUST3069,PROD1434,Dresses,216.23,1,0,216.23,Website,India,0,28,M
ORD100003,27-11-2021,CUST2138,PROD3547,Tops,230.23,1,0,230.23,Website,India,0,20,M
ORD100004,03-01-2023,CUST1511,PROD7201,Tops,91.49,1,0,91.49,Website,India,0,60,F
ORD100005,15-08-2021,CUST1326,PROD4814,Accessories,117.14,1,0,117.14,Website,India,0,62,M
ORD100006,20-08-2023,CUST1292,PROD3803,Dresses,77.22,1,0,77.22,Store Pickup,USA,0,38,M
ORD100007,08-05-2024,CUST1229,PROD4752,Accessories,242.49,1,20,193.99,Marketplace,India,0,43,M
ORD100008,09-08-2023,CUST2879,PROD3340,Bottoms,77.76,1,0,77.76,Mobile App,France,0,32,U
ORD100009,10-10-2020,CUST3087,PROD9085,Tops,18.9,1,0,18.9,Marketplace,India,0,42,F
ORD100010,16-08-2022,CUST3167,PROD5119,Footwear,258.93,1,0,258.93,Mobile App,India,0,59,F
ORD100011,24-08-2021,CUST2780,PROD3591,Dresses,286.38,1,0,286.38,Mobile App,India,0,58,F
ORD100012,01-08-2023,CUST3079,PROD4258,Tops,229.94,1,0,229.94,Mobile App,India,0,19,F
ORD100013,13-01-2022,CUST4599,PROD6038,Tops,76.06,1,25,57.05,Website,India,0,26,F
ORD100014,31-08-2022,CUST4878,PROD3705,Bottoms,262.37,1,20,209.9,Marketplace,USA,0,43,U
ORD100015,23-08-2023,CUST2529,PROD8177,Accessories,138.19,1,0,138.19,Mobile App,India,0,22,M
ORD100016,30-04-2020,CUST1937,PROD2104,Footwear,258.59,1,25,193.94,Website,India,0,54,F
ORD100017,12-05-2021,CUST4213,PROD8749,Accessories,61.17,1,0,61.17,Website,India,0,61,M
ORD100018,16-08-2023,CUST1403,PROD1993,Dresses,105.09,1,5,99.84,Mobile App,India,0,47,F
ORD100019,05-03-2025,CUST1308,PROD8260,Accessories,257.51,1,0,257.51,Mobile App,India,0,33,F
ORD100020,21-09-2022,CUST2971,PROD4502,Accessories,271.22,1,15,230.54,Website,Germany,0,45,M
ORD100021,05-02-2024,CUST4208,PROD8973,Tops,92.53,2,0,185.06,Mobile App,UK,0,55,F
ORD100022,25-02-2025,CUST4492,PROD9701,Tops,288.43,1,20,230.74,Website,France,0,54,F
ORD100023,02-05-2023,CUST1162,PROD2343,Dresses,177.18,1,0,177.18,Website,UK,0,43,F
ORD100024,14-08-2023,CUST2228,PROD8491,Bottoms,226.8,1,0,226.8,Store Pickup,Australia,0,31,F
ORD100025,28-09-2020,CUST4822,PROD6718,Accessories,264.38,1,30,185.07,Mobile App,India,0,59,F
ORD100026,29-09-2023,CUST4346,PROD5905,Footwear,35.56,1,0,35.56,Marketplace,UK,0,36,M
ORD100027,09-01-2024,CUST2404,PROD4335,Outerwear,256.61,1,0,256.61,Store Pickup,India,0,35,F
ORD100028,14-11-2021,CUST4158,PROD3143,Outerwear,82.28,1,0,82.28,Website,India,0,62,M
ORD100029,22-01-2023,CUST1147,PROD7049,Dresses,48.69,1,0,48.69,Marketplace,Germany,0,40,F
ORD100030,26-05-2021,CUST3731,PROD2684,Bottoms,170.17,1,0,170.17,Mobile App,Australia,0,28,U
ORD100031,18-07-2024,CUST1725,PROD7755,Tops,222.29,1,0,222.29,Marketplace,France,0,35,F
ORD100032,07-12-2023,CUST1442,PROD7267,Accessories,258.29,1,0,258.29,Website,India,0,32,F
ORD100033,13-09-2023,CUST1791,PROD7528,Bottoms,259.98,2,0,519.96,Mobile App,India,0,52,F
ORD100034,26-02-2020,CUST1472,PROD5279,Tops,288.95,1,15,245.61,Website,Germany,0,50,F
ORD100035,16-01-2025,CUST3361,PROD4114,Bottoms,214.09,1,0,214.09,Mobile App,UK,0,60,F
ORD100036,02-06-2022,CUST1286,PROD6409,Outerwear,200.7,1,0,200.7,Mobile App,USA,0,62,F
ORD100037,17-09-2020,CUST1785,PROD7888,Outerwear,116.85,1,20,93.48,Website,India,1,36,F
ORD100038,28-05-2024,CUST3375,PROD6279,Dresses,135.44,1,0,135.44,Store Pickup,Germany,0,23,F
ORD100039,21-09-2023,CUST3592,PROD6491,Tops,285.84,1,0,285.84,Marketplace,India,1,48,M
ORD100040,22-04-2024,CUST1298,PROD8461,Dresses,190.78,1,0,190.78,Website,India,0,18,M
ORD100041,28-10-2024,CUST4154,PROD2746,Activewear,69.56,1,0,69.56,Website,India,0,25,F
ORD100042,29-06-2024,CUST2903,PROD9702,Footwear,180.66,2,0,361.32,Mobile App,UK,0,53,F
ORD100043,21-11-2020,CUST4046,PROD8777,Dresses,226.77,1,0,226.77,Marketplace,India,0,46,F
ORD100044,08-08-2021,CUST1960,PROD5451,Bottoms,268.44,1,15,228.17,Mobile App,UK,0,44,F
ORD100045,12-08-2022,CUST2703,PROD2020,Tops,128.94,1,0,128.94,Mobile App,France,0,42,F
ORD100046,14-04-2025,CUST2440,PROD5892,Activewear,256.77,2,0,513.54,Mobile App,India,0,32,F
ORD100047,12-07-2021,CUST2785,PROD8956,Tops,104.16,1,0,104.16,Website,India,0,57,F
ORD100048,31-01-2025,CUST2613,PROD1444,Tops,131.44,1,10,118.3,Website,India,0,42,F
ORD100049,02-05-2025,CUST4407,PROD7906,Bottoms,29.16,1,0,29.16,Store Pickup,India,0,59,F
ORD100050,04-03-2020,CUST4889,PROD5051,Tops,11.01,1,25,8.26,Website,Australia,0,34,M
ORD100051,09-12-2020,CUST3481,PROD2876,Activewear,53.31,1,0,53.31,Store Pickup,India,0,42,F
